Date,Stock,Headline,Label
2006-12-26,F-US,Ford Motor spokesman says can neither confirm nor deny reported talks with Toyota (TM) -- Reuters,1
2006-12-27,F-US,Ford Motor and Toyota talks discussed by Detroit News,0
2007-01-06,LI-US,Laidlaw's Greyhound Lines unit reaches tentative labor agreement with transit union,0
2007-01-07,F-US,"Swedish investment conglomorate Investor AB (INVEB.SS) is considering bidding for Volvo, a Ford subsidiary - London Independent",0
2007-01-18,PII-US,Polaris Industries increases quarterly dividend by 9.7% to $0.34 from $0.31,1
2007-01-19,PII-US,Polaris Industries sees sales growing to $2.2B by the end of 2009,0
2007-01-25,F-US,Ford's full year loss could reach $10B - Detroit Free Press,1
2007-01-25,PII-US,Polaris Industries reports Q4 EPS $0.93 vs Reuters consensus $0.89,1
2007-01-30,F-US,Ford expected to receive revised Aston Martin offers on Wednesday - FT,0
2007-01-31,LI-US,Laidlaw International's Greyhound Lines extends contract with transit union,0
2007-02-02,F-US,Ford planning $1B small-car production facility in Asia - Dow Jones,0
2007-02-04,LI-US,Laidlaw International subsidiary Greyhound Lines fails to ratify union contract,0
2007-02-16,GM-US,"Follow-up: General Motors in talks to buy Chrysler Group in entirety, reports Reuters",0
2007-02-20,PII-US,"Polaris Industries unit completes sale of stock to Cross Industries unit, raised guidance",1
2007-03-05,GM-US,Blackstone among suitors for General Motors' Allison Transmission - Reuters (15:34ET),0
2007-03-13,PII-US,Polaris Industries initiated hold at Rochdale,0
2007-03-19,F-US,Speculation that Ford could be a target for Shanghai Automotive is in the market,1
2007-03-30,LI-US,First Group (FGP.LN) refiles HSR notification for proposed Laidlaw acquisition,0
2007-04-01,LI-US,Laidlaw International reports Q1 EPS $0.50 vs Reuters consensus $0.57,0
2007-04-04,F-US,Detroit News discusses potential management shake up at Ford,0
2007-04-19,PII-US,Polaris Industries 2007 guidance is unchanged in shareholder meeting slideshow,1
2007-04-30,LI-US,Greyhound continues collective bargaining talks with Amalgamated Transit Union (ATU) National Local 1700,0
2007-05-01,GM-US,General Motors may build inventories ahead of possible labor strike later this year -- Bloomberg,0
2007-05-02,LI-US,Laidlaw Int'l trading higher following press release by Teamsters expressing concern over potential takeover,0
2007-05-06,GM-US,General Motors CEO Wagoner says GM is not considering going private and has not considered in past -- wires,0
2007-05-16,GM-US,"General Motors mulls sale of its medium-duty truck unit, reports Dow Jones",0
2007-05-16,GM-US,"Follow-up: General Motors mulls sale of its medium-duty truck unit, reports Dow Jones",0
2007-05-18,LI-US,Laidlaw International temporarily suspends Greyhound Canada service in western Canada,0
2007-05-29,F-US,Ford official says the company is not talking to BMW (BMW.GR) about a sale of Volvo -- Dow Jones (14:29 ET),1
2007-05-30,PII-US,"Polaris Industries recalls about 9,400 2006 Hawkeye 2x4 and Hawkeye 4x4 ATVs due to loss of control hazard",0
2007-06-02,F-US,Nelson Peltz in the running for Ford's Aston Martin - London Times,0
2007-06-07,LI-US,Laidlaw International reports Q3 EPS from continuing operations $0.76 vs Reuters consensus $0.61 -- 2 estimates,0
2007-06-20,LI-US,Laidlaw International says acquisition by FirstGroup approved by Canada on 18-Jun,0
2007-06-21,PII-US,CPSC announces recall of 930 Polaris ATVs,0
2007-06-29,F-US,Ford units Land Rover and Jaguar shopped to private equity - FT,0
2007-07-17,PII-US,Polaris Industries reports Q2 EPS $0.62 vs Reuters consensus $0.58,0
2007-08-01,F-US,"Australia's richest man, James Packer, eyeing Ford's Aston Martin - Sunday Telegraph",0
2007-08-02,LI-US,Laidlaw International to be acquired by FirstGroup (FGP.GP) - Financial Times,0
2007-08-03,F-US,Ford to sell Aston Martin for approximately £450M - Financial Times,0
2007-08-08,LI-US,First Group (FGP.LN) and Laidlaw International exercise right to extend date on which either may terminate the merger agreement,0
2007-08-14,PII-US,Polaris Industries reaffirms full year EPS guidance of $2.95-3.05; completes accelerated share repurchase,0
2007-08-14,PII-US,Polaris Industries target lowered to $44 from $50 at Bank of America,0
2007-09-01,GM-US,General Motors CFO may consider more asset sales due to cash burn -- Bloomberg,0
2007-09-02,LI-US,First Group (FGP.LN) confirms acquisition of Laidlaw International for $35.25/share,0
2007-09-04,PII-US,AG Edwards says the US ATV channel remains elevated but is clearing,0
2007-09-04,LI-US,"Laidlaw International reports Q2 EPS $0.30, including $9M in additional interest expense and is not likely comparable to Reuters consensus $0.42",0
2007-09-14,PII-US,Polaris Industries says report that appeared on Reuters that it plans to build a new snowmobile plant in Southeast Europe is untrue,0
2007-09-28,LI-US,FirstGroup (FGP.LN) receives FTC antitrust clearance for Laidlaw acquisition,0
2007-10-12,F-US,"Tata, Mahindra and Mahindra may revise Jaguar, Land Rover bids - Business Standard",0
2007-10-12,STLAM-IT,Fiat CEO says does not see any reason to consider spinning off Fiat auto unit--Reuters,0
2007-10-15,STLAM-IT,Fiat and OAO AvtoVaz sign memorandum as a basis for the two companies to produce light cars together,0
2007-10-16,PII-US,Polaris Industries reports Q3 EPS $1.07 cont. operations vs Reuters consensus $1.02,1
2007-10-17,PII-US,RBC comments on Polaris Industries following Q3 earnings,1
2007-11-01,PII-US,"AG Edwards comments on Polaris Industries, Q4 dealer survey",1
2007-11-07,LI-US,Laidlaw International and FirstGroup enter into timing agreement to allow for additional time for Antitrust clearance,0
2007-11-20,PII-US,Polaris Industries upgraded to neutral from sell at Bank of America,0
2007-12-04,PII-US,"Polaris Industries upgraded to buy from hold at Wedbush Morgan, we're told (timing uncertain)",1
2007-12-04,PII-US,Polaris Industries reports Q1 EPS from continuing ops $0.34 vs Reuters consensus $0.33,1
2007-12-10,PII-US,Polaris Industries reiterated buy at Citi,0
2007-12-13,PII-US,RBC sees strong near term earnings momentum for Polaris Industries following management meetings and dealer checks,1
2007-12-23,500520-IN,"Mahindra & Mahindra out of Jaguar, Land Rover race - The Times of India",0
2008-01-07,F-US,Ford's Volvo says it isn't discussing sale with Renault (RNO.FP) -- Bloomberg,0
2008-01-08,GM-US,"General Motors' Rick Wagoner says that the decision on Hummer brand will ""take awhile"" -- CNBC",0
2008-01-16,PII-US,"Polaris Industries remains sell rated at FTN Midwest Research, believes consensus estimates will move lower",0
2008-01-16,PII-US,Polaris Industries CEO Tom Tiller to step down by end of 2008; reaffirms guidance for 2007,0
2008-01-23,500520-IN,Mahindra & Mahindra open to new partnerships and exploring expanding existing jv with Renault (RNO.FP),0
2008-01-24,PII-US,Polaris Industries increases quarterly dividend by 2.9% to $0.35 from $0.34; increases buyback by 3.5M shares,1
2008-01-29,PII-US,"Polaris Industries reports Q4 EPS $1.07, con't ops vs Reuters $1.04",0
2008-01-30,PII-US,Polaris Industries target reduced to $56 from $68 at CIti,1
2008-01-30,F-US,"Ford, Tata said to be nearing deal on Land Rover, Jaguar - DJ",0
2008-02-04,500520-IN,Mahindra & Mahindra and ICICI Venture Funds have signed agreement to purchase Metalcastello SpA,0
2008-02-06,GM-US,"General Motors dividend cut not likely - WSJ, citing sources",0
2008-02-07,PII-US,Polaris Industries target lowered at RBC Capital following dealer survey,1
2008-02-25,F-US,"Jaquar, Land Rover sale announcement set for March 5 or 6 - Automotive News",1
2008-02-28,PII-US,Polaris Industries guides Q1 EPS to $0.44-0.49 vs Reuters $0.41,0
2008-02-28,PII-US,Follow-up: Polaris Industries says it is currently in discussions with HSBC regarding its financing arrangement,0
2008-03-19,PII-US,"FTN Midwest Research continues to rate Polaris Industries a sell, sees further negative estimate revisions",1
2008-03-28,F-US,"Ford to reopen Windsor, Ontario plant - ReportonBusiness.com",0
2008-04-08,PII-US,Polaris Industries names Scott Wine CEO effective 1-Sep,0
2008-04-15,PII-US,Polaris Industries reports Q1 EPS $0.55 vs Reuters $0.47,1
2008-04-28,GM-US,General Motors output cut to exceed 100K - Bloomberg,0
2008-05-11,GM-US,"General Motors expected to announce changes to automotive operations 7-Nov, when the company reports earnings - Detroit News",0
2008-05-19,GM-US,Talks between UAW and General Motors at Malibu plant break down - WSJ,0
2008-05-21,PII-US,Polaris Industries obtains favorable settlement in patent and trade dress rights infringement suit,1
2008-05-27,PII-US,Polaris Industries upgraded to neutral from sell at FTN Midwest,0
2008-05-27,PII-US,Polaris Industries initiated market perform at William Blair,0
2008-06-06,GM-US,"CAW Chief says union may sue General Motors over plant closure, reports WSJ",0
2008-06-07,F-US,"Chery Automobile reviewing purchase of Volvo, says Caijing - Bloomberg",0
2008-06-13,GM-US,"Investment firm presents General Motors with ""far-out idea"" - Business Week",0
2008-06-17,GM-US,"Mahindra ""keen"" to buy GM's HUMMER; Tata now appears uninterested - Drive",0
2008-06-23,GM-US,"General Motors has retained Citibank to help review Hummer brand--Reuters, citing dealer",0
2008-06-24,GM-US,Citi expected to begin contacting prospective overseas buyers for Hummer within three months - FT,0
2008-07-04,GM-US,General Motors trading higher on heavier volume,0
2008-07-04,PII-US,RBC comments positively on Polaris Industries ahead of Q1 earnings,0
2008-07-07,GM-US,"General Motors looks to more layoffs, considers brand sales/closures - WSJ",0
2008-07-11,GM-US,Chrysler may face a break-up if it can't get deal with General Motors (GM) or government funding -- Reuters,0
2008-07-12,F-US,"Ford has made a second approach to sell Volvo to Shanghai Automotive Industry Corporation - London Mail, citing source",0
2008-07-14,PII-US,Polaris Industries added to Top Picks Live at Citi,0
2008-07-15,PII-US,Polaris Industries reports Q2 EPS cont. ops $0.72 vs Reuters $0.68,1
2008-07-15,PII-US,Follow-up: Polaris Industries guides f08 sales growth of 9-11% y/y,1
2008-07-24,PII-US,Polaris Industries targets sales and EPS of $2.2B and $4.25 by 2009,0
2008-07-24,GM-US,"Hebei Zhongxing Automobile Co in talks with General Motors, FAW Group about cooperation, equity ties - Reuters",0
2008-07-25,PII-US,"Polaris Industries downgraded to hold from buy at Wedbush Morgan, we're told (pre-open)",0
2008-07-31,GM-US,"Follow-up: General Motors in talks with Mahindra & Mahindra (MM.IN), others over Hummer sale--Reuters, citing sources",0
2008-07-31,GM-US,"General Motors in talks with Mahindra & Mahindra (MM.IN), others over Hummer sale--Reuters, citing sources",0
2008-08-01,500520-IN,Mahindra pulls out of $1B JV - FT,0
2008-08-09,RNO-FR,Renault shares turn negative after Le Monde article reiterates Renault won't make 2009 sales target -- Reuters,0
2008-08-14,GM-US,General Motors CFO Ray Young says the company is trying to accelerate a $10B savings plan -- wires,0
2008-08-18,GM-US,General Motors had talks with China's Changfeng regarding Hummer - Reuters,0
2008-08-27,PII-US,FTN Midwest comments on checks at Polaris Industries,1
2008-09-10,PII-US,"FTN Midwest comments on Polaris Industries, September sales worse than August",1
2008-09-18,GM-US,General Motors CFO says mergers may be required if loan package not approved - Globe and Mail,0
2008-09-19,GM-US,General Motors is in talks to sell its commercial truck operations to Isuzu Motors Ltd (7202.JP) reports Nikkei News,0
2008-09-19,RNO-FR,Sarkozy may meet Renault's Ghosn over job cut plan reports Le Monde citing Finance Ministry,0
2008-09-22,PII-US,"Polaris Industries says that given current business trends, it anticipates it can meet, slightly exceed current Q3 guidance",1
2008-10-11,GM-US,General Motors' Opel unit filed letter to German government seeking support - Dow Jones,0
2008-10-12,F-US,Mahindra & Mahindra (MM.IN) may bid for Volvo - Hindustan Times,0
2008-10-13,GM-US,General Motors not seeking loan from Federal Reserve - Detroit News,0
2008-10-14,PII-US,Polaris Industries reports Q3 EPS $1.13 vs Reuters $1.10,0
2008-10-16,GM-US,General Motors may absorb Chrysler - Detroit News,0
2008-10-20,GM-US,General Motors bid for Chrysler could be hung for lack of investors - WSJ,0
2008-10-22,F-US,Tracinda's Ford sell-off possibly related to MGM Mirage (MGM) - Detroit News,0
2008-10-22,GM-US,General Motors may seek increased cost cuts as Chrysler merger talks progress -- Bloomberg,0
2008-11-10,GM-US,General Motors was recently in discussions to acquire Chrysler - WSJ,0
2008-11-13,GM-US,New York Times looks at possible benefits of bankruptcy for General Motors,0
2008-11-14,PII-US,Polaris Industries initiated hold at Deutsche Bank,0
2008-11-18,GM-US,General Motors Opel unit to seek €1.8B government guarantee reports Faz -- Bloomberg,0
2008-11-18,7261-JP,"Ford (F) to sell a 20% stake in Mazda tomorrow, will remain top shareholder with a 13% stake -- wires, Nikkei",0
2008-12-09,GM-US,General Motors and Delphi near pension deal-- The Detroit News,0
2008-12-10,F-US,Ford considering selling at least part of Mazda (7261.JP) stake - Detroit News,0
2008-12-15,PII-US,Polaris Industries remains rated neutral at Credit Suisse,1
2008-12-15,GM-US,"Hunan Changfeng Motors Co (600991.CH) in talks with AM General over joint purchase of Hummer, says Jinghua - Motor Trend",0
2008-12-19,GM-US,General Motors says that it expects funding by 29-Dec -- press conference,0
2009-01-04,GM-US,"Government may seek to split General Motors into good car company, bad car company - NYT",0
2009-01-05,GM-US,General Motors may sell part of stake in GM Daewoo Auto & Technology Co to Korea Development Bank - Bloomberg,0
2009-01-13,PII-US,Polaris Industries downgraded to market perform from strong buy at Raymond James (pre-open),0
2009-01-14,RNO-FR,Renault denies holding any discussion with Chrysler -- Reuters,0
2009-01-20,GM-US,General Motors prepping Saab to operate separately - eGM Car Tech,0
2009-01-20,PII-US,"Polaris Industries mentioned cautiously at FTN Midwest Research, estimates reduced below consensus",1
2009-01-22,PII-US,Polaris Industries mentioned cautiously at Citi,0
2009-01-22,PII-US,Follow-up: Polaris Industries mentioned cautiously at Citi,0
2009-01-22,PII-US,Polaris Industries increases quarterly dividend by 2.6% to $0.39 from $0.38,0
2009-01-22,PII-US,Polaris Industries cutting 460 jobs,0
2009-01-23,GM-US,"Chysler and UAW reach deal to end jobs bank 26-Jan - Dow Jones, citing source",0
2009-01-25,7261-JP,Japanese car makers to get government salary help reports the FT,0
2009-01-29,PII-US,Polaris Industries reports Q4 EPS $1.11 vs Reuters $1.09,0
2009-02-02,GM-US,UAW official cited saying General Motors is in talks to sell Flint truck unit to Isuzu (7202.JP) - Detroit Free Press,0
2009-02-03,F-US,"Geely Holding Group is likely to bid for Ford's Volvo brand later this month - WSJ, citing two people familiar with the situation",0
2009-02-03,PII-US,Polaris Industries and Bobcat announce long term strategic alliance,0
2009-02-03,GM-US,"General Motors to propose selling at least 25% of Opel, cutting $1.2B of costs - WSJ",0
2009-02-03,GM-US,General Motors to acquire Delphi's global steering business - WSJ,0
2009-02-16,GM-US,"General Motors considering closing at least three European plants this year, says Automotive News Europe - Bloomberg",0
2009-02-17,GM-US,Follow up: Saturn dealers to spin-off from GM into new company - WSJ,0
2009-02-17,GM-US,"Germany could take stake in Opel if General Motors declares bankruptcy, says FTD - AFP",0
2009-02-18,GM-US,General Motors CEO Wagoner says its current request for government money is pretty much in line with what it has previously said -- CNBC,0
2009-02-24,F-US,"Volvo Cars may get SEK5B loan guarantee from European Investment Bank this spring, says Dagens Industri - Bloomberg",1
2009-03-17,500520-IN,Mahindra & Mahindra Financial Services Limited's National long-term credit rating downgraded to 'AA' from 'AA+' by Fitch,0
2009-03-25,F-US,"Follow-up: Ford has received ""expressions of interest"" from three or more bidders for Volvo - WSJ, citing sources",1
2009-03-25,F-US,"Ford has received ""expressions of interest"" from three or more bidders for Volvo - WSJ, citing sources",1
2009-03-25,F-US,Ford's sale of Volvo may fetch $1-2B - Bloomberg,1
2009-04-02,F-US,Ford in talks to sell Volvo Cars unit to Geely Automobile Holdings (175.HK) - Bloomberg,1
2009-04-03,PII-US,Polaris Industries estimates and target reduced at Wedbush,0
2009-04-12,7269-JP,"Suzuki Motor, General Motors agree to end Canadian JV - Nikkei",0
2009-04-15,GM-US,Government not able to find outside investors for General Motors - WJ,0
2009-04-16,PII-US,"Polaris Industries reports Q1 EPS $0.26 including items, unclear if comparable to Reuters $0.20",1
2009-04-16,GM-US,"Opel may reclaim money from General Motors, says Die Welt - Bloomberg",0
2009-04-16,GM-US,"General Motors is reportedly under pressure from government to consider selling GMC - Dow Jones, citing sources",0
2009-04-22,GM-US,"Cerberus, Fiat (F.IM) consider taking stakes in Opel, says Rheinische Post - Reuters",0
2009-04-24,GM-US,General Motors said to keep GMC and eliminate Pontiac - Bloomberg,0
2009-04-24,GM-US,Labor leader on Opel's supervisory board says Magna International (MGA) welcome as investor in Opel - Reuters,0
2009-04-24,GM-US,CLARIFICATION: General Motors to kill the Pontiac brand - Bloomberg,0
2009-05-02,F-US,Geely Automobile Holdings (175.HK) has no plans to buy Volvo brand - Reuters,0
2009-05-02,GM-US,General Motors may form commercial venture with Jilin-based FAW Group - South China Morning Post,0
2009-05-05,RNO-FR,Renault to attempt to sell €1B of property - Le Monde,0
2009-05-10,F-US,"US-led consortium in talks to buy Volvo - WSJ, citing source",0
2009-05-10,RNO-FR,Russian Prime Minister Vladimir Putin says Renault's stake in AvtoVAZ (AVAZ.RU) could be diluted - WSJ,0
2009-05-14,GM-US,RHJ International (RHJI.BB) considering bid for General Motors's European operations - WSJ,0
2009-05-17,GM-US,"Magna (MG.A.CN) might have Opel make cars for manufacturers besides General Motors, says Welt am Sonntag - Reuters",0
2009-05-19,GM-US,"RHJ International (RHJI.BB), Fiat (F.IM) and Magna (MG.A.CN) expected to make offers for General Motors' Opel tomorrow (20-May) - FT",0
2009-05-19,GM-US,Follow-up: General Motors bankruptcy plan also calls for the U.S. government to extend credit line to new company - Reuters,0
2009-05-19,GM-US,"General Motors bankruptcy plan includes sale of healthy assets to a new company, owned by the U.S. government - Reuters",0
2009-05-20,GM-US,RHJ International (RHJI.BB) will make offer for GM's Opel business which will give GM substantial stake in car maker -- Reuters citing source,0
2009-05-22,GM-US,GMAC has told employees it needs to cut costs by $1B or 20% of its expense base - WSJ,0
2009-05-22,GM-US,Obama administration prepares to trade General Motors for Chrysler on bankruptcy roster - Washington Post,0
2009-05-22,GM-US,"Mitsubishi (7211.JP) talking about supplying vehicles to Saturn dealers if brand, network are sold this year - Detroit News",0
2009-05-27,GM-US,"South Korea looking at ways to support GM Daewoo in case of GM bankruptcy, says Edaily - Bloomberg",0
2009-05-29,PII-US,Polaris Industries upgraded to outperform from neutral at RW Baird,0
2009-06-02,GM-US,"General Motors will announce plans to close more U.S. factories 17-Feb - Dow Jones, citing people familiar with plans",0
2009-06-03,GM-US,General Motors executives becoming more open to bankruptcy - WSJ,0
2009-06-04,GM-US,FT discusses latest developments surrounding GM's efforts to secure support for its European operations,0
2009-06-07,7202-JP,Isuzu denies Nikkei report project with Toyota Motor (7203.JP) to end - Bloomberg,0
2009-06-10,7261-JP,Mazda seeks to raise about $1B in offering reports the WSJ,0
2009-06-10,RNO-FR,Renault alliance with Mahindra & Mahindra (MM.IN) may be in trouble - Economic Times,1
2009-06-24,PII-US,Polaris Industries mentioned cautiously at FTN Research,1
2009-06-26,PII-US,Polaris Industries upgraded to outperform from sector perform at RBC Capital,0
2009-06-29,F-US,"Follow up: F Ford sales analyst says June US auto sales could hit 10M, says Ford share higher than last year",1
2009-07-05,175-HK,China's Geely Automotive says has no plans to bid for Volvo (F) or Saab (GM) -- wires,0
2009-07-16,PII-US,Follow-up: Polaris Industries reports Q2 EPS $0.53 vs Reuters $0.47,1
2009-07-16,PII-US,Polaris Industries reports Q2 EPS $0.53 vs Reuters $0.47,1
2009-07-22,PII-US,Polaris Industries recalls ATVs due to fire hazard,1
2009-08-01,GM-US,"General Motors has not found a buyer for SAAB - Automotive News, citing sources",0
2009-08-03,F-US,Geely Automotive interested in Ford's Volvo unit reports the London Times,0
2009-08-04,GM-US,Three bidders left in GM's Hummer auction - Reuters,0
2009-08-18,PII-US,Polaris Industries receives US Army ATV order valued at ~$6M,0
2009-08-26,F-US,Alternative energy companies want to buy closed Ford factory near Detroit - AP,1
2009-09-12,7269-JP,Follow-up: Volkswagen (VOW.GR) to buy 19.9% stake in Suzuki Motor for ¥ 222.5B,0
2009-09-12,7269-JP,Volkswagen (VOW.GR) to buy 19.9% stake in Suzuki Motor for ¥ 222.5B,0
2009-09-12,7269-JP,"Suzuki Motor may review car supply agreements with Fiat (F.IM), Opel - Bloomberg",0
2009-09-16,PII-US,Polaris Industries upgraded to outperform from neutral at Wedbush Morgan,1
2009-09-16,PII-US,Polaris Industries reaffirms f09 EPS guidance of $2.70-2.90; guides Q3 EPS $0.76-0.86,1
2009-09-16,F-US,Ford should consider another share issue - WSJ,0
2009-09-17,1211-HK,BYD sets sights on being number-one carmaker in world by 2025 - South China Morning Post,1
2009-09-20,175-HK,Goldman Sachs investing $250M in Geely Automobile to help fund company's growth amibitions,0
2009-09-22,175-HK,"Geely Automobile Holdings issues HK$2.59B ($334M) in convertible bonds, warrants to Goldman Sachs (GS)",0
2009-09-28,F-US,"Former Volvo Cars CEO Soeren Gyll to advise Konsortium Jakob on bid for brand, says Dagens Industri - Bloomberg",0
2009-10-14,PII-US,Polaris Industries unit announces $2.4M contract,1
2009-10-15,PII-US,Polaris Industries reports Q3 EPS $0.94 vs Reuters $0.84,0
2009-11-02,PII-US,Polaris Industries reiterates Q1 EPS to $0.15-0.25 vs Reuters $0.20 in slides,1
2009-11-23,F-US,Crown consortium expected to submit offer this week - Dagens Industri,1
2009-11-27,RNO-FR,"Russia may get 1.5% of Renault in AvtoVAZ (AVAZ.RU) deal, says Kommersant - Bloomberg",0
2009-12-01,PII-US,Polaris Industries downgraded to hold from buy at Citi,1
2009-12-02,GM-US,General Motors has spoken with Kia Motors (000270.KS) about Saab - Reuters,0
2009-12-02,GM-US,General Motors talking with SAIC Motor Corp (600104.CH) in effort to raise cash - Reuters,0
2009-12-03,2333-HK,"Great Wall Motor calls off collaboration with Chrysler, says China Business News - South China Morning Post",0
2009-12-03,GM-US,General Motors' Saab unit to cut 750 jobs in Sweden -- wires,0
2009-12-04,GM-US,General Motors may have trouble trying to move quickly through bankruptcy reports the WSJ,0
